"GO_term_ID","gene_index","Uniprot_ID","gene_symbol","gene_name","GO_term_name","GO_term_definition"
"GO:0001774",1627,"O15455","TLR3","Toll-like receptor 3","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",1907,"O43914","TYROBP","TYRO protein tyrosine kinase-binding protein","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",2044,"O60603","TLR2","Toll-like receptor 2","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",2062,"O60674","JAK2","Tyrosine-protein kinase JAK2","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",2505,"O76096","CST7","Cystatin-F","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",2818,"O95760","IL33","Interleukin-33","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",2990,"P01130","LDLR","Low-density lipoprotein receptor","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3021,"P01375","TNF","Tumor necrosis factor","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3031,"P01579","IFNG","Interferon gamma","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3131,"P02745","C1QA","Complement C1q subcomponent subunit A","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3262,"P05067","APP","Amyloid-beta precursor protein","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3268,"P05107","ITGB2","Integrin beta-2","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3272,"P05112","IL4","Interleukin-4","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3295,"P05231","IL6","Interleukin-6","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3302,"P05412","JUN","Transcription factor Jun","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3480,"P08575","PTPRC","Receptor-type tyrosine-protein phosphatase C","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3898,"P10147","CCL3","C-C motif chemokine 3","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3929,"P10636","MAPT","Microtubule-associated protein tau","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3946,"P10909","CLU","Clusterin","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",3971,"P11215","ITGAM","Integrin alpha-M","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
